sensorAddr       ,date                      ,battery,temperature,humidity,radarDetected,magnetDetected,accelerationDetected
E1:97:96:0B:76:0C,2019-11-20 13:35:52.457000,98     ,17.95      ,44      ,             ,              ,
E1:97:96:0B:76:0C,2019-11-20 13:36:50.610000,98     ,17.76      ,43      ,             ,              ,
E1:97:96:0B:76:0C,2019-11-20 13:37:53.712000,98     ,18.13      ,44      ,             ,              ,
E1:97:96:0B:76:0C,2019-11-20 13:38:50.834000,98     ,18.1       ,44      ,             ,              ,
E1:97:96:0B:76:0C,2019-11-20 13:39:50.868000,98     ,17.57      ,44      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:31:55.291000,99     ,17.95      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:32:56.300000,99     ,17.84      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:33:59.396000,99     ,17.84      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:35:00.967000,99     ,17.66      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:35:56.023000,99     ,17.92      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:36:55.613000,99     ,17.62      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:37:58.630000,99     ,17.88      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:38:58.204000,99     ,17.92      ,42      ,             ,              ,
C4:90:3B:BA:B6:AC,2019-11-20 13:39:58.253000,99     ,17.7       ,42      ,             ,              ,
FB:22:F0:83:70:F5,2019-11-20 13:31:20.190000,47     ,18.66      ,37      ,False        ,False         ,False
