date                   ,end_date               ,label
2020-03-11 20:11:32.007,2020-03-11 20:11:42.475,Coin cuisine
2020-03-11 20:11:33.088,2020-03-11 20:11:44.066,Placard cuisine
2020-03-11 20:11:44.066,2020-03-11 20:13:36.769,Coin cuisine
2020-03-11 20:13:36.769,2020-03-11 20:13:49.702,Placard cuisine
2020-03-11 20:13:37.961,2020-03-11 20:13:56.479,Coin cuisine
2020-03-11 20:13:49.702,2020-03-11 20:14:39.463,Placard cuisine
2020-03-11 20:46:02.941,2020-03-11 20:46:03.088,Réfrigérateur
2020-03-11 20:46:03.088,2020-03-11 20:46:22.605,Coin cuisine
2020-03-11 21:07:58.552,2020-03-11 21:08:05.986,Couloir principal
2020-03-11 21:08:05.986,2020-03-11 21:09:32.695,Toilette
2020-03-11 21:09:32.695,2020-03-11 21:10:10.145,Couloir principal
2020-03-11 21:10:14.294,2020-03-11 21:33:43.251,Coin cuisine
2020-03-11 21:33:43.251,2020-03-11 22:45:21.042,Salon
2020-03-11 22:45:21.042,2020-03-11 22:48:05.784,Coin cuisine
2020-03-11 22:48:05.784,2020-03-11 22:49:45.336,Couloir principal
2020-03-11 22:49:45.336,2020-03-11 22:50:08.052,Chambre à coucher
2020-03-11 22:50:08.052,2020-03-11 22:50:42.496,Couloir principal
2020-03-11 22:50:42.496,2020-03-11 22:53:14.703,Coin cuisine
2020-03-11 22:53:16.013,2020-03-11 22:54:17.349,Couloir principal
2020-03-11 22:54:17.349,2020-03-11 22:55:28.747,Coin cuisine
2020-03-11 22:54:25.092,2020-03-12 00:40:33.459,Salon
2020-03-12 00:40:33.459,2020-03-12 00:41:10.122,Couloir principal
2020-03-12 00:40:38.123,2020-03-12 00:46:34.572,Chambre à coucher
2020-03-12 00:41:10.122,2020-03-12 00:48:33.707,Salle de bain
2020-03-12 00:48:33.707,2020-03-12 07:44:21.307,Chambre à coucher
2020-03-12 07:44:21.307,2020-03-12 07:46:17.634,Toilette
2020-03-12 07:46:17.634,2020-03-12 07:48:04.071,Chambre à coucher
2020-03-12 07:49:43.570,2020-03-12 07:49:54.084,Couloir principal
2020-03-12 07:50:32.827,2020-03-12 07:51:08.102,Coin cuisine
2020-03-12 07:51:08.102,2020-03-12 07:51:18.578,Couloir principal
2020-03-12 07:51:17.270,2020-03-12 07:56:16.981,Coin cuisine
2020-03-12 07:51:18.578,2020-03-12 07:56:23.764,Couloir principal
2020-03-12 07:56:23.764,2020-03-12 07:59:28.570,Coin cuisine
2020-03-12 07:59:28.570,2020-03-12 07:59:58.677,Placard cuisine
2020-03-12 07:59:58.677,2020-03-12 08:00:56.127,Coin cuisine
2020-03-12 08:00:56.127,2020-03-12 08:01:56.472,Réfrigérateur
2020-03-12 08:01:56.472,2020-03-12 08:04:27.833,Coin cuisine
2020-03-12 08:04:27.833,2020-03-12 08:04:34.236,Placard cuisine
2020-03-12 08:04:34.236,2020-03-12 08:06:48.670,Coin cuisine
2020-03-12 08:06:49.837,2020-03-12 08:08:28.543,Couloir principal
2020-03-12 08:08:35.909,2020-03-12 08:11:04.802,Coin cuisine
2020-03-12 08:11:04.802,2020-03-12 08:11:32.272,Placard cuisine
2020-03-12 08:11:32.272,2020-03-12 08:34:29.312,Coin cuisine
2020-03-12 08:34:29.312,2020-03-12 08:35:02.399,Réfrigérateur
2020-03-12 08:35:02.399,2020-03-12 08:50:07.220,Coin cuisine
2020-03-12 08:54:57.107,2020-03-12 08:55:16.925,Salon
2020-03-12 08:55:16.925,2020-03-12 08:55:30.065,Coin cuisine
2020-03-12 08:55:26.608,2020-03-12 08:55:49.534,Couloir principal
2020-03-12 08:55:30.065,2020-03-12 08:55:59.825,Chambre à coucher
2020-03-12 08:55:59.825,2020-03-12 08:59:54.579,Toilette
2020-03-12 09:00:14.911,2020-03-12 09:17:35.648,Chambre à coucher
2020-03-12 09:17:35.648,2020-03-12 09:17:49.099,Couloir principal
2020-03-12 09:44:39.621,2020-03-12 09:44:56.666,Salon
2020-03-12 09:45:20.340,2020-03-12 09:50:52.606,Coin cuisine
2020-03-12 10:11:27.202,2020-03-12 10:12:04.832,Chambre à coucher
2020-03-12 10:12:41.008,2020-03-12 10:18:03.415,Couloir principal
2020-03-12 10:18:03.415,2020-03-12 10:19:17.903,Coin cuisine
2020-03-12 10:19:17.903,2020-03-12 10:19:18.054,Salon
2020-03-12 10:19:26.161,2020-03-12 10:25:00.772,Coin cuisine
2020-03-12 10:25:13.742,2020-03-12 10:25:28.113,Salon
2020-03-12 10:25:28.113,2020-03-12 10:39:24.809,Terrasse
2020-03-12 10:39:24.809,2020-03-12 10:41:08.409,Salon
2020-03-12 10:41:29.968,2020-03-12 10:41:55.405,Coin cuisine
2020-03-12 10:42:05.186,2020-03-12 10:45:44.419,Salon
2020-03-12 10:46:07.067,2020-03-12 10:52:10.938,Coin cuisine
2020-03-12 10:52:10.938,2020-03-12 10:52:39.992,Réfrigérateur
2020-03-12 10:52:39.992,2020-03-12 10:52:53.058,Coin cuisine
2020-03-12 10:52:53.058,2020-03-12 10:53:04.618,Couloir principal
2020-03-12 10:52:58.798,2020-03-12 10:58:12.985,Toilette
2020-03-12 10:58:12.985,2020-03-12 11:00:22.056,Chambre à coucher
2020-03-12 11:00:22.056,2020-03-12 11:01:19.952,Coin cuisine
2020-03-12 11:01:13.999,2020-03-12 11:01:41.538,Couloir principal
2020-03-12 11:01:41.538,2020-03-12 11:01:44.717,Coin cuisine
2020-03-12 11:01:42.992,2020-03-12 11:01:52.799,Couloir principal
2020-03-12 11:01:44.717,2020-03-12 11:01:53.680,Coin cuisine
2020-03-12 11:01:53.680,2020-03-12 11:11:00.751,Coin cuisine
2020-03-12 11:09:43.582,2020-03-12 11:11:02.065,Couloir principal
2020-03-12 11:11:00.751,2020-03-12 11:11:07.210,Coin cuisine
2020-03-12 11:11:02.065,2020-03-12 11:14:30.257,Couloir principal
2020-03-12 11:11:07.210,2020-03-12 11:14:32.905,Coin cuisine
2020-03-12 11:14:30.257,2020-03-12 11:14:41.921,Couloir principal
2020-03-12 11:14:51.012,2020-03-12 11:14:51.883,Chambre à coucher
2020-03-12 11:15:33.506,2020-03-12 11:15:39.771,Coin cuisine
2020-03-12 11:15:39.771,2020-03-12 11:18:43.896,Couloir principal
2020-03-12 11:18:43.896,2020-03-12 11:21:08.656,Toilette
2020-03-12 11:21:08.656,2020-03-12 11:22:55.364,Salle de bain
2020-03-12 22:56:38.600,2020-03-12 23:00:37.797,Chambre à coucher
2020-03-12 23:00:37.797,2020-03-12 23:00:54.734,Couloir principal
2020-03-12 23:00:53.200,2020-03-12 23:16:01.644,Coin cuisine
2020-03-12 23:16:01.644,2020-03-12 23:16:12.093,Salon
2020-03-13 00:22:52.253,2020-03-13 00:23:03.178,Couloir principal
2020-03-13 00:23:03.178,2020-03-13 00:23:49.176,Coin cuisine
2020-03-13 00:23:06.699,2020-03-13 00:24:16.082,Réfrigérateur
2020-03-13 00:23:49.176,2020-03-13 00:24:17.459,Coin cuisine
2020-03-13 00:24:17.459,2020-03-13 00:24:24.808,Couloir principal
2020-03-13 00:24:18.641,2020-03-13 00:27:07.064,Toilette
2020-03-13 00:27:07.064,2020-03-13 02:18:41.411,Chambre à coucher
2020-03-13 02:18:41.411,2020-03-13 02:20:12.955,Toilette
2020-03-13 02:20:12.955,2020-03-13 06:42:17.544,Chambre à coucher
2020-03-13 06:42:17.544,2020-03-13 06:44:00.263,Toilette
2020-03-13 06:44:00.263,2020-03-13 08:10:20.407,Chambre à coucher
2020-03-13 08:10:20.407,2020-03-13 08:13:01.290,Toilette
2020-03-13 08:13:01.290,2020-03-13 08:13:07.472,Coin cuisine
2020-03-13 08:13:03.767,2020-03-13 08:13:15.242,Couloir principal
2020-03-13 08:13:15.242,2020-03-13 08:14:36.169,Coin cuisine
2020-03-13 08:14:36.169,2020-03-13 08:14:44.117,Placard cuisine
2020-03-13 08:14:44.117,2020-03-13 08:19:10.065,Coin cuisine
2020-03-13 08:19:11.981,2020-03-13 08:20:10.113,Couloir principal
2020-03-13 08:22:42.834,2020-03-13 08:22:58.517,Chambre à coucher
2020-03-13 08:22:58.517,2020-03-13 08:23:30.387,Couloir principal
2020-03-13 08:23:30.387,2020-03-13 08:26:27.891,Coin cuisine
2020-03-13 08:26:27.891,2020-03-13 08:26:45.196,Placard cuisine
