date                   ,end_date               ,label
2020-06-26 17:41:46.749,2020-06-26 17:42:03.063,Chambre
2020-06-26 17:41:53.703,2020-06-26 17:42:04.277,Cuisine
2020-06-26 17:42:03.063,2020-06-26 17:42:10.182,Chambre
2020-06-26 17:42:04.277,2020-06-26 17:42:16.376,Cuisine
2020-06-26 17:42:10.182,2020-06-26 17:42:20.228,Chambre
2020-06-26 17:42:16.376,2020-06-26 17:42:29.985,Cuisine
2020-06-26 17:42:29.985,2020-06-26 17:42:33.562,Chambre
2020-06-26 17:42:36.543,2020-06-26 17:42:39.324,Cuisine
2020-06-26 17:42:39.324,2020-06-26 17:42:52.979,Chambre
2020-06-26 17:42:44.208,2020-06-26 17:42:58.355,Cuisine
2020-06-26 17:42:58.355,2020-06-26 17:43:13.447,Chambre
2020-06-26 17:43:13.447,2020-06-26 17:43:27.022,Cuisine
2020-06-26 17:43:27.022,2020-06-26 17:43:35.122,Chambre
2020-06-26 17:43:35.122,2020-06-26 17:43:43.693,Cuisine
2020-06-26 17:43:43.693,2020-06-26 17:43:53.306,Chambre
2020-06-26 17:43:53.306,2020-06-26 17:44:08.429,Cuisine
2020-06-26 17:44:08.429,2020-06-26 17:44:35.726,Chambre
2020-06-26 17:44:35.726,2020-06-26 17:44:47.898,Cuisine
2020-06-26 17:44:37.303,2020-06-26 17:44:52.028,Chambre
2020-06-26 17:44:47.898,2020-06-26 17:44:53.409,Cuisine
2020-06-26 17:45:36.560,2020-06-26 17:45:46.681,Cuisine
2020-06-26 17:45:46.681,2020-06-26 17:45:53.771,Chambre
2020-06-26 17:45:53.771,2020-06-26 17:46:04.336,Cuisine
2020-06-26 17:45:58.271,2020-06-26 17:46:14.256,Chambre
2020-06-26 17:46:14.256,2020-06-26 17:46:18.005,Cuisine
2020-06-26 17:46:25.556,2020-06-26 17:46:25.793,Chambre
2020-06-26 17:46:25.793,2020-06-26 17:46:37.473,Cuisine
2020-06-26 17:46:37.473,2020-06-26 17:46:45.013,Chambre
2020-06-26 17:46:51.351,2020-06-26 17:47:01.224,Cuisine
2020-06-26 17:47:03.124,2020-06-26 17:47:14.012,Chambre
2020-06-26 17:47:16.104,2020-06-26 17:47:17.785,Cuisine
2020-06-26 17:47:27.580,2020-06-26 17:47:43.745,Chambre
2020-06-26 17:47:43.745,2020-06-26 17:47:54.297,Cuisine
2020-06-26 17:47:47.949,2020-06-26 17:48:02.226,Chambre
2020-06-26 17:48:02.226,2020-06-26 17:48:02.677,Cuisine
2020-06-26 17:48:05.896,2020-06-26 17:48:23.558,Chambre
2020-06-26 17:48:23.558,2020-06-26 17:48:33.657,Cuisine
2020-06-26 17:48:25.662,2020-06-26 17:48:38.312,Chambre
2020-06-26 17:48:33.657,2020-06-26 17:48:44.269,Cuisine
2020-06-26 17:48:44.269,2020-06-26 17:48:55.837,Chambre
2020-06-26 17:49:01.098,2020-06-26 17:49:05.359,Cuisine
2020-06-26 17:49:10.447,2020-06-26 17:49:27.655,Chambre
2020-06-26 17:49:27.655,2020-06-26 17:49:36.202,Cuisine
2020-06-26 17:49:36.202,2020-06-26 17:49:47.771,Chambre
2020-06-26 17:49:47.771,2020-06-26 17:49:57.905,Cuisine
2020-06-26 17:49:55.412,2020-06-26 17:50:02.619,Chambre
2020-06-26 17:49:57.905,2020-06-26 17:50:08.001,Cuisine
2020-06-26 17:50:08.001,2020-06-26 17:50:28.749,Chambre
2020-06-26 17:50:28.749,2020-06-26 17:50:34.866,Cuisine
2020-06-26 17:50:31.652,2020-06-26 17:50:43.416,Chambre
2020-06-26 17:50:34.866,2020-06-26 17:50:46.001,Cuisine
2020-06-26 17:50:46.001,2020-06-26 17:50:54.141,Chambre
2020-06-26 17:50:54.141,2020-06-26 17:51:03.707,Cuisine
2020-06-26 17:50:57.110,2020-06-26 17:51:08.623,Chambre
2020-06-26 17:51:03.707,2020-06-26 17:51:13.336,Cuisine
2020-06-26 17:51:08.623,2020-06-26 17:51:23.923,Chambre
2020-06-26 17:51:13.336,2020-06-26 17:51:25.949,Cuisine
2020-06-26 17:51:23.923,2020-06-26 17:51:27.801,Chambre
2020-06-26 17:51:25.949,2020-06-26 17:51:35.491,Cuisine
2020-06-26 17:51:27.801,2020-06-26 17:51:39.047,Chambre
2020-06-26 17:51:35.491,2020-06-26 17:51:46.562,Cuisine
2020-06-26 17:51:39.047,2020-06-26 17:51:47.951,Chambre
2020-06-26 17:51:46.562,2020-06-26 17:51:53.618,Cuisine
2020-06-26 17:51:47.951,2020-06-26 17:52:04.022,Chambre
2020-06-26 17:51:53.618,2020-06-26 17:52:05.208,Cuisine
2020-06-26 17:52:05.208,2020-06-26 17:52:16.281,Chambre
2020-06-26 17:52:16.281,2020-06-26 17:52:26.940,Cuisine
2020-06-26 17:52:26.940,2020-06-26 17:52:35.519,Chambre
2020-06-26 17:52:35.519,2020-06-26 17:52:44.101,Cuisine
2020-06-26 17:52:44.101,2020-06-26 17:52:54.740,Chambre
2020-06-26 17:52:54.740,2020-06-26 17:53:08.859,Cuisine
2020-06-26 17:53:08.859,2020-06-26 17:53:13.863,Chambre
2020-06-26 17:53:13.863,2020-06-26 17:53:26.431,Cuisine
2020-06-26 17:53:26.431,2020-06-26 17:53:57.814,Chambre
2020-06-26 17:53:57.814,2020-06-26 17:54:05.930,Cuisine
2020-06-26 17:55:06.560,2020-06-26 17:55:20.363,Chambre
2020-06-26 17:55:20.363,2020-06-26 17:55:29.432,Cuisine
2020-06-26 17:56:08.274,2020-06-26 17:56:16.807,Cuisine
2020-06-26 17:56:55.542,2020-06-26 17:57:05.617,Cuisine
2020-06-26 17:57:05.617,2020-06-26 17:57:37.348,Chambre
2020-06-26 17:57:37.348,2020-06-26 17:57:44.137,Cuisine
2020-06-26 17:57:44.137,2020-06-26 17:57:54.281,Chambre
2020-06-26 17:57:54.281,2020-06-26 17:58:05.082,Cuisine
2020-06-26 17:58:05.082,2020-06-26 17:58:20.248,Chambre
2020-06-26 17:58:20.248,2020-06-26 17:58:25.282,Cuisine
2020-06-26 17:58:22.690,2020-06-26 17:58:30.862,Chambre
2020-06-26 17:58:25.282,2020-06-26 17:58:40.008,Cuisine
2020-06-26 17:59:26.360,2020-06-26 17:59:35.394,Cuisine
2020-06-26 18:00:11.272,2020-06-26 18:00:21.835,Cuisine
2020-06-26 18:00:21.835,2020-06-26 18:00:24.319,Chambre
2020-06-26 18:00:24.319,2020-06-26 18:00:40.447,Cuisine
2020-06-26 18:00:40.447,2020-06-26 18:00:59.114,Chambre
2020-06-26 18:00:59.114,2020-06-26 18:01:06.147,Cuisine
2020-06-26 18:01:00.495,2020-06-26 18:01:09.903,Chambre
2020-06-26 18:01:06.147,2020-06-26 18:01:15.220,Cuisine
2020-06-26 18:02:04.616,2020-06-26 18:02:19.238,Cuisine
2020-06-26 18:02:19.238,2020-06-26 18:02:46.049,Chambre
2020-06-26 18:02:46.049,2020-06-26 18:02:58.664,Cuisine
2020-06-26 18:02:50.722,2020-06-26 18:03:07.236,Chambre
2020-06-26 18:02:58.664,2020-06-26 18:03:08.801,Cuisine
2020-06-26 18:04:15.676,2020-06-26 18:04:28.261,Cuisine
2020-06-26 18:04:22.715,2020-06-26 18:04:36.180,Chambre
2020-06-26 18:04:28.261,2020-06-26 18:04:41.425,Cuisine
2020-06-26 18:06:08.249,2020-06-26 18:06:21.873,Cuisine
2020-06-26 18:06:21.873,2020-06-26 18:06:25.891,Chambre
2020-06-26 18:06:25.891,2020-06-26 18:06:40.488,Cuisine
2020-06-26 18:06:40.488,2020-06-26 18:07:07.239,Chambre
2020-06-26 18:07:07.239,2020-06-26 18:07:20.828,Cuisine
2020-06-26 18:07:20.828,2020-06-26 18:07:25.871,Chambre
2020-06-26 18:07:25.871,2020-06-26 18:07:36.413,Cuisine
2020-06-26 18:07:36.413,2020-06-26 18:07:50.025,Chambre
2020-06-26 18:07:50.025,2020-06-26 18:07:55.535,Cuisine
2020-06-26 18:09:10.323,2020-06-26 18:09:17.437,Cuisine
2020-06-26 18:09:17.437,2020-06-26 18:09:28.550,Chambre
