date                   ,end_date               ,label
2020-06-11 19:30:59.486,2020-06-11 19:31:08.119,Réfrigérateur
2020-06-11 19:31:08.119,2020-06-11 19:36:14.800,Salle manger ancienne Cuisine
2020-06-11 19:36:14.800,2020-06-11 19:36:24.336,Réfrigérateur
2020-06-11 19:36:24.336,2020-06-11 19:37:11.182,Salle manger ancienne Cuisine
2020-06-11 19:37:11.182,2020-06-11 19:37:19.709,Placard buffet
2020-06-11 19:37:19.709,2020-06-11 19:37:19.880,Salle manger ancienne Cuisine
2020-06-11 19:37:31.380,2020-06-11 20:06:57.987,Salon
2020-06-11 20:07:05.716,2020-06-11 20:07:11.696,Salle manger ancienne Cuisine
2020-06-11 20:07:20.507,2020-06-11 20:11:02.535,Salon
2020-06-11 20:11:06.227,2020-06-11 20:11:52.515,Salle manger ancienne Cuisine
2020-06-11 20:12:00.266,2020-06-11 21:04:35.626,Salon
2020-06-11 21:04:39.662,2020-06-11 21:07:30.311,Salle manger ancienne Cuisine
2020-06-11 21:07:37.124,2020-06-11 21:09:10.220,Salon
2020-06-11 21:09:18.819,2020-06-11 21:10:42.186,Salle manger ancienne Cuisine
2020-06-11 21:10:57.045,2020-06-11 21:17:08.436,Salon
2020-06-11 21:17:18.320,2020-06-11 21:24:25.390,Salle manger ancienne Cuisine
2020-06-11 21:24:31.881,2020-06-11 21:53:18.679,Salon
2020-06-11 21:53:25.428,2020-06-11 21:53:35.175,Salle manger ancienne Cuisine
2020-06-11 21:53:49.713,2020-06-11 22:42:28.476,Salon
2020-06-11 22:43:27.111,2020-06-11 22:43:30.968,Salle manger ancienne Cuisine
2020-06-11 22:43:30.968,2020-06-11 22:47:04.333,Chambre à coucher
2020-06-11 22:46:55.247,2020-06-11 22:47:06.809,Placard Penderie
2020-06-11 22:47:06.809,2020-06-11 22:52:11.476,Chambre à coucher
2020-06-11 22:52:11.476,2020-06-11 22:52:22.919,Placard Penderie
2020-06-11 22:52:22.919,2020-06-11 22:53:44.289,Chambre à coucher
2020-06-11 22:53:44.289,2020-06-11 22:54:30.516,Salle de bain
2020-06-11 22:54:30.516,2020-06-11 23:32:31.792,Bureau
